id,name,parentId
AE.01.101,Abu Dhabi Municipality,AE.01
AE.01.102,Al Ain Municipality,AE.01
AE.01.103,Al Dhafra,AE.01
AE.04.701,Al Fujairah Municipality,AE.04
AE.04.702,Dibba Al Fujairah Municipality,AE.04
AE.06.302,Dhaid,AE.06
AE.02.401,Ajman,AE.02
AE.06.304,Khor Fakkan,AE.06
AE.06.307,Dibba Al Hesn,AE.06
AE.06.305,Kalba,AE.06
AE.05.601,Ras Al Khaimah,AE.05
AE.07.501,Umm AL Quwain,AE.07
AE.06.309,Milehah,AE.06
AE.06.306,Al Madam,AE.06
AE.06.301,Sharjah,AE.06
AE.06.303,Al Hamriyah,AE.06
AE.02.402,Manama,AE.02
AE.02.403,Masfout,AE.02
AE.06.308,Al Batayih,AE.06
AE.03.201,Dubai,AE.03
AF.01.1109,Shighnan District,AF.01
AF.08.609,Gelan,AF.08
AF.01.1114,Arghanj Khwah,AF.01
AF.01.1115,Argo,AF.01
AF.01.1108,Baharak,AF.01
AF.01.1116,Darayim,AF.01
AF.01.1117,Darwaz-e Bala,AF.01
AF.01.1110,Darwaz-e Pa'in,AF.01
AF.01.1101,Faizabad,AF.01
AF.01.1107,Ishkashim,AF.01
AF.01.1103,Jurm,AF.01
AF.01.1118,Khash,AF.01
AF.01.1111,Khwahan,AF.01
AF.01.1102,Kishim,AF.01
AF.01.1119,Kohistan,AF.01
AF.01.1120,Kuf Ab,AF.01
AF.01.1112,Raghistan,AF.01
AF.01.1113,Shahr-e Buzurg,AF.01
AF.01.1121,Shiki,AF.01
AF.01.1122,Shuhada,AF.01
AF.01.1123,Tagab,AF.01
AF.01.1124,Tashkan,AF.01
AF.01.1106,Wakhan,AF.01
AF.01.1125,Warduj,AF.01
AF.01.1126,Yaftal-e Sufla,AF.01
AF.01.1127,Yamgan,AF.01
AF.01.1128,Yawan,AF.01
AF.01.1105,Zaybak,AF.01
AF.02.1902,Ab-e Kamari,AF.02
AF.02.1905,Ghormach,AF.02
AF.02.1904,Jowand,AF.02
AF.02.1907,Muqur,AF.02
AF.02.1906,Murghab,AF.02
AF.02.1903,Qadis,AF.02
AF.02.1901,Qal'ah-ye Now,AF.02
AF.03.1307,Andarab,AF.03
AF.03.1311,Baghlan-e Jadid,AF.03
AF.03.1310,Burkah,AF.03
AF.03.1303,Dahanah-ye Ghori,AF.03
AF.03.1312,Deh-e Salah,AF.03
AF.03.1304,Doshi,AF.03
AF.03.1313,Firing wa Gharu,AF.03
AF.03.1314,Guzargah-e Nur,AF.03
AF.03.1306,Khinjan,AF.03
AF.03.1308,Khost wa Firing,AF.03
AF.03.1315,Khwajah Hijran,AF.03
AF.03.1309,Nahrin,AF.03
AF.03.1302,Pul-e Hisar,AF.03
AF.03.1305,Talah wa Barfak,AF.03
AF.05.2803,Kahmard,AF.05
AF.05.2805,Panjab,AF.05
AF.05.2807,Sayghan,AF.05
AF.05.2806,Waras,AF.05
AF.05.2804,Yakawlang,AF.05
AF.06.2107,Anar Darah,AF.06
AF.06.2102,Bakwah,AF.06
AF.06.2105,Bala Buluk,AF.06
AF.06.2103,Gulistan,AF.06
AF.06.2106,Khak-e Safed,AF.06
AF.06.2109,Lash-e Juwayn,AF.06
AF.06.2104,Pur Chaman,AF.06
AF.06.2111,Pusht-e Rod,AF.06
AF.06.2108,Qal'ah-ye Kah,AF.06
AF.06.2110,Shayb Koh,AF.06
AF.07.1811,Khan-e Chahar Bagh,AF.07
AF.07.1803,Almar,AF.07
AF.07.1812,Andkhoy,AF.07
AF.07.1806,Bal Chiragh,AF.07
AF.07.1809,Dowlatabad,AF.07
AF.07.1807,Gurziwan,AF.07
AF.07.1813,Khwajah Sabz Posh,AF.07
AF.07.1805,Kohistan,AF.07
AF.07.1801,Maimanah,AF.07
AF.07.1802,Pashtun Kot,AF.07
AF.07.1804,Qaisar,AF.07
AF.07.1810,Qaram Qol,AF.07
AF.07.1814,Qurghan,AF.07
AF.07.1808,Shirin Tagab,AF.07
AF.08.611,Ab Band,AF.08
AF.08.605,Ajristan,AF.08
AF.08.614,Andar,AF.08
AF.08.602,Bahram-e Shahid,AF.08
AF.08.615,Deh Yak,AF.08
AF.08.601,Ghazni,AF.08
AF.08.612,Giro,AF.08
AF.08.607,Jaghuri,AF.08
AF.08.603,Khwajah 'Omari,AF.08
AF.08.606,Malistan,AF.08
AF.08.608,Muqer,AF.08
