UNRegion,UNRegionCode,UNSubRegion,UNSubRegionCode,UNIntermediateRegion,UNIntermediateRegionCode,iso3
Africa,m49:2,Northern Africa,m49:15,,m49:,DZA
Africa,m49:2,Northern Africa,m49:15,,m49:,EGY
Africa,m49:2,Northern Africa,m49:15,,m49:,LBY
Africa,m49:2,Northern Africa,m49:15,,m49:,MAR
Africa,m49:2,Northern Africa,m49:15,,m49:,SDN
Africa,m49:2,Northern Africa,m49:15,,m49:,TUN
Africa,m49:2,Northern Africa,m49:15,,m49:,ESH
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,IOT
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,BDI
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,COM
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,DJI
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,ERI
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,ETH
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,ATF
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,KEN
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,MDG
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,MWI
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,MUS
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,MYT
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,MOZ
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,REU
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,RWA
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,SYC
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,SOM
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,SSD
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,UGA
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,TZA
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,ZMB
Africa,m49:2,Sub-Saharan Africa,m49:202,Eastern Africa,m49:14,ZWE
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,AGO
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,CMR
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,CAF
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,TCD
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,COG
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,COD
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,GNQ
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,GAB
Africa,m49:2,Sub-Saharan Africa,m49:202,Middle Africa,m49:17,STP
Africa,m49:2,Sub-Saharan Africa,m49:202,Southern Africa,m49:18,BWA
Africa,m49:2,Sub-Saharan Africa,m49:202,Southern Africa,m49:18,SWZ
Africa,m49:2,Sub-Saharan Africa,m49:202,Southern Africa,m49:18,LSO
Africa,m49:2,Sub-Saharan Africa,m49:202,Southern Africa,m49:18,NAM
Africa,m49:2,Sub-Saharan Africa,m49:202,Southern Africa,m49:18,ZAF
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,BEN
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,BFA
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,CPV
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,CIV
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,GMB
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,GHA
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,GIN
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,GNB
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,LBR
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,MLI
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,MRT
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,NER
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,NGA
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,SHN
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,SEN
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,SLE
Africa,m49:2,Sub-Saharan Africa,m49:202,Western Africa,m49:11,TGO
