name,fips,stateFips
Abbeville,00124,01
Adamsville,00460,01
Addison,00484,01
Akron,00676,01
Alabaster,00820,01
Albertville,00988,01
Alexander City,01132,01
Aliceville,01228,01
Allgood,01396,01
Altoona,01660,01
Andalusia,01708,01
Anderson,01756,01
Anniston,01852,01
Arab,02116,01
Ardmore,02260,01
Argo,02320,01
Ariton,02428,01
Arley,02500,01
Ashford,02836,01
Ashland,02860,01
Ashville,02908,01
Athens,02956,01
Atmore,03004,01
Attalla,03028,01
Auburn,03076,01
Autaugaville,03220,01
Avon,03364,01
Babbie,03556,01
Baileyton,03676,01
Bakerhill,03724,01
Banks,03940,01
Bay Minette,04660,01
Bayou La Batre,04684,01
Bear Creek,04852,01
Beatrice,04900,01
Beaverton,04948,01
Belk,05164,01
Benton,05692,01
Berry,05932,01
Bessemer,05980,01
Billingsley,06460,01
Birmingham,07000,01
Black,07120,01
Blountsville,07456,01
Blue Springs,07672,01
Boaz,07912,01
Boligee,08104,01
Bon Air,08248,01
Brantley,09016,01
Brent,09136,01
Brewton,09208,01
Bridgeport,09328,01
Brighton,09400,01
Brilliant,09424,01
Brookside,09736,01
Brookwood,09808,01
Brundidge,10240,01
Butler,11032,01
Calera,11416,01
Camden,11512,01
Camp Hill,11680,01
Carbon Hill,12016,01
Cardiff,12040,01
Carolina,12160,01
Carrollton,12304,01
Castleberry,12496,01
Cedar Bluff,12760,01
Center Point,13264,01
Centre,13648,01
Centreville,13672,01
Chatom,14008,01
Chelsea,14104,01
Cherokee,14152,01
Chickasaw,14392,01
Childersburg,14464,01
Citronelle,15064,01
Clanton,15136,01
Clay,15256,01
Clayhatchee,15304,01
Clayton,15376,01
Cleveland,15472,01
Clio,15640,01
Coaling,16000,01
Coffee Springs,16240,01
Coffeeville,16264,01
Coker,16312,01
Collinsville,16600,01
Colony,16684,01
Columbia,16744,01
Columbiana,16768,01
Coosada,17176,01
Cordova,17368,01
Cottonwood,17824,01
County Line,17968,01
Courtland,18040,01
Cowarts,18088,01
Creola,18304,01
Crossville,18856,01
Cuba,18952,01
Cullman,18976,01
Cusseta,19216,01
Dadeville,19336,01
Daleville,19360,01
Daphne,19648,01
Dauphin Island,19744,01
Daviston,19816,01
Dayton,19912,01
Deatsville,20008,01
Decatur,20104,01
Demopolis,20296,01
Detroit,20392,01
Dodge City,20955,01
Dora,21136,01
Dothan,21184,01
Double Springs,21280,01
Douglas,21328,01
Dozier,21448,01
Dutton,21952,01
East Brewton,22216,01
Eclectic,22816,01
Edwardsville,23176,01
Elba,23296,01
Elberta,23320,01
Eldridge,23344,01
Elkmont,23488,01
Elmore,23656,01
Emelle,23872,01
Enterprise,24184,01
Epes,24256,01
Ethelsville,24472,01
Eufaula,24568,01
Eutaw,24664,01
Eva,24688,01
Evergreen,24808,01
Excel,24880,01
Fairfield,25120,01
Fairhope,25240,01
Fairview,25384,01
Falkville,25648,01
Faunsdale,25816,01
Fayette,25840,01
Five Points,26200,01
Flomaton,26824,01
Florala,26848,01
Florence,26896,01
Foley,26992,01
Forkland,27376,01
Fort Deposit,27520,01
Fort Payne,27616,01
Franklin,28024,01
Frisco City,28312,01
Fruithurst,28432,01
Fulton,28504,01
Fultondale,28552,01
Fyffe,28672,01
Gadsden,28696,01
Gainesville,28768,01
Gantt,28936,01
Garden City,29032,01
Gardendale,29056,01
Gaylesville,29296,01
Geiger,29392,01
Geneva,29464,01
Georgiana,29560,01
Geraldine,29608,01
Gilbertown,29704,01
Glen Allen,29944,01
Glencoe,29992,01
Glenwood,30160,01
Goldville,30448,01
Good Hope,30496,01
Goodwater,30640,01
Gordo,30736,01
Gordon,30760,01
Gordonville,30808,01
Goshen,30880,01
Grant,31096,01
Graysville,31384,01
Greensboro,31720,01
Greenville,31912,01
Grimes,32056,01
Grove Hill,32080,01
Guin,32224,01
Gulf Shores,32272,01
Guntersville,32416,01
Gurley,32440,01
Gu-Win,32536,01
Hackleburg,32560,01
Haleburg,32656,01
Haleyville,32704,01
Hamilton,32848,01
Hammondville,32896,01
Hanceville,32968,01
Harpersville,33256,01
Hartford,33424,01
Hartselle,33448,01
Hayden,33640,01
Hayneville,33712,01
Headland,33856,01
Heath,33904,01
Heflin,33976,01
Helena,34024,01
Henagar,34096,01
Highland Lake,34480,01
Hillsboro,34816,01
Hobson City,35152,01
Hodges,35200,01
Hokes Bluff,35392,01
Holly Pond,35560,01
Hollywood,35632,01
Homewood,35800,01
Hoover,35896,01
Horn Hill,36088,01
Hueytown,36448,01
Huntsville,37000,01
Hurtsboro,37096,01
Hytop,37264,01
Ider,37312,01
Indian Springs Village,37465,01
Irondale,37864,01
Jackson,38152,01
Jacksons' Gap,38248,01
Jacksonville,38272,01
Jasper,38416,01
Jemison,38608,01
Kansas,39280,01
Kellyton,39472,01
Kennedy,39520,01
Killen,39784,01
Kimberly,39856,01
Kinsey,40072,01
Kinston,40096,01
La Fayette,40672,01
Lakeview,40888,01
Lake View,40928,01
Lanett,41296,01
Langston,41368,01
Leeds,41968,01
Leesburg,42016,01
Leighton,42160,01
Lester,42352,01
Level Plains,42472,01
Lexington,42640,01
Libertyville,42808,01
Lincoln,43120,01
Linden,43240,01
Lineville,43264,01
Lipscomb,43336,01
Lisman,43384,01
Littleville,43648,01
Livingston,43720,01
Loachapoka,43744,01
Lockhart,43816,01
Locust Fork,43888,01
Louisville,44344,01
Lowndesboro,44536,01
Loxley,44608,01
Luverne,44728,01
Lynn,44800,01
McIntosh,45472,01
McKenzie,45496,01
McMullen,45640,01
Madison,45784,01
Madrid,45904,01
Magnolia Springs,46072,01
Malvern,46264,01
Maplesville,46504,01
Margaret,46696,01
Marion,46768,01
Maytown,47728,01
Memphis,48052,01
Mentone,48064,01
Midfield,48376,01
Midland City,48400,01
Midway,48424,01
Millbrook,48712,01
Millport,48808,01
Millry,48832,01
Mobile,50000,01
Monroeville,50192,01
Montevallo,50312,01
Montgomery,51000,01
Moody,51096,01
Mooresville,51264,01
Morris,51456,01
Mosses,51520,01
Moulton,51600,01
Moundville,51648,01
Mountain Brook,51696,01
Mount Vernon,52608,01
Mulga,52776,01
Munford,52848,01
Muscle Shoals,53016,01
Myrtlewood,53112,01
Napier Field,53256,01
Natural Bridge,53376,01
Nauvoo,53400,01
Nectar,53448,01
Needham,53472,01
Newbern,53784,01
New Brockton,53856,01
New Hope,54168,01
New Site,54432,01
Newton,54480,01
